Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_8
1,Google Pixel 8 - 8 Pro - 128/256 GB - Unlocked/T-Mobile/AT&T/Verizon - Good,$259.99,2025-10-22,https://www.ebay.com/itm/176566107239,https://i.ebayimg.com/images/g/YFcAAOSwTO5m3k4H/s-l500.webp,256 GB,Good,False,Pixel 8,True
1,Google Pixel 8 - 8 Pro - 128/256 GB - Unlocked/T-Mobile/AT&T/Verizon - PRISTINE,$249.99,2025-10-22,https://www.ebay.com/itm/176571396395,https://i.ebayimg.com/images/g/YFcAAOSwTO5m3k4H/s-l500.webp,256 GB,Unknown,False,Pixel 8,True
1,Google Pixel 8 | 8a | 8 Pro - 128GB | 256GB  - Unlocked Verizon T-Mobile AT&T,$304.95,2025-10-22,https://www.ebay.com/itm/276806870275,https://i.ebayimg.com/images/g/8nwAAOSwhzBnfBH9/s-l500.webp,128 GB,Unknown,False,Pixel 8,True
1,"Google Pixel 8 128GB Unlocked GA04803-US 6.2"" OLED 50MP WiFi GPS NFC 5G Obsidian",$264.99,2025-10-21,https://www.ebay.com/itm/197740099790,https://i.ebayimg.com/images/g/iGoAAOSwu4dlhJPh/s-l500.webp,128 GB,Unknown,False,Pixel 8,True
1,Google Pixel 8 | 8a | 8 Pro - 128GB | 256GB  - Unlocked Verizon AT&T T-Mobile,$309.95,2025-10-21,https://www.ebay.com/itm/186882072138,https://i.ebayimg.com/images/g/HggAAOSwaqFnfpuA/s-l500.webp,128 GB,Unknown,False,Pixel 8,True
1,Google Pixel 8 - 8 Pro - 128/256 GB - Unlocked/T-Mobile/AT&T/Verizon - Excellent,$309.99,2025-10-20,https://www.ebay.com/itm/176566603457,https://i.ebayimg.com/images/g/YFcAAOSwTO5m3k4H/s-l500.webp,256 GB,Excellent,False,Pixel 8,True
1,Google Pixel 8 | 8a | 8 Pro - 128GB | 256GB  - Unlocked Verizon T-Mobile AT&T,$304.95,2025-10-20,https://www.ebay.com/itm/186882061984,https://i.ebayimg.com/images/g/wEsAAOSwMQJnfppp/s-l500.webp,128 GB,Unknown,False,Pixel 8,True
1,"Google Pixel 8 128GB Unlocked GA04803-US 6.2"" OLED 50MP WiFi GPS NFC 5G Obsidian",$254.99,2025-10-20,https://www.ebay.com/itm/197756557924,https://i.ebayimg.com/images/g/iGoAAOSwu4dlhJPh/s-l500.webp,128 GB,Unknown,False,Pixel 8,True
1,Google Pixel 8 | 8 Pro | 8a - 128GB | 256GB - Unlocked T-Mobile AT&T - Excellent,$309.95,2025-10-19,https://www.ebay.com/itm/256776739703,https://i.ebayimg.com/images/g/qOYAAOSwVI9nfpXL/s-l500.webp,128 GB,Excellent,False,Pixel 8,True
1,Google Pixel 8 | 8a | 8 Pro - 128GB | 256GB  - Unlocked Verizon T-Mobile AT&T,$264.95,2025-10-15,https://www.ebay.com/itm/277020605961,https://i.ebayimg.com/images/g/8nwAAOSwhzBnfBH9/s-l500.webp,128 GB,Unknown,False,Pixel 8,True
1,"Google Pixel 8 256GB Unlocked GA04851-US 6.2"" 50MP NFC 5G Dual SIM Obsidian",$324.99,2025-10-09,https://www.ebay.com/itm/205757982935,https://i.ebayimg.com/images/g/iGoAAOSwu4dlhJPh/s-l500.webp,256 GB,Unknown,False,Pixel 8,True
1,"Unlocked Google Pixel 8 GA04803-US 6.2"" OLED 128GB 50MP WiFi GPS NFC 5G Obsidian",$274.99,2025-08-04,https://www.ebay.com/itm/204675688050,https://i.ebayimg.com/images/g/iGoAAOSwu4dlhJPh/s-l500.webp,128 GB,Unknown,False,Pixel 8,True
1,Google Pixel 8 | 8 Pro | 8a - 128GB | 256GB - Unlocked T-Mobile AT&T - Very Good,$304.95,2025-10-06,https://www.ebay.com/itm/267119027459,https://i.ebayimg.com/images/g/HaMAAOSwyaNnfpeM/s-l500.webp,128 GB,Very Good,False,Pixel 8,True
1,Google Pixel 8 | 8 Pro | 8a - 128GB | 256GB - Unlocked T-Mobile AT&T - Good,$284.95,2025-10-06,https://www.ebay.com/itm/267195083588,https://i.ebayimg.com/images/g/HaMAAOSwyaNnfpeM/s-l500.webp,128 GB,Good,False,Pixel 8,True
1,"Google Pixel 8 128GB Unlocked GA04803-US 6.2"" OLED 50MP WiFi GPS NFC 5G Obsidian",$279.99,2025-09-18,https://www.ebay.com/itm/326306299059,https://i.ebayimg.com/images/g/iGoAAOSwu4dlhJPh/s-l500.webp,128 GB,Unknown,False,Pixel 8,True
1,"Google Pixel 8 256GB Unlocked GA04851-US 6.2"" 50MP NFC 5G Dual SIM Obsidian",$324.99,2025-08-06,https://www.ebay.com/itm/325966374023,https://i.ebayimg.com/images/g/iGoAAOSwu4dlhJPh/s-l500.webp,256 GB,Unknown,False,Pixel 8,True
1,Google Pixel 8 | 8a | 8 Pro - 128GB | 256GB  - Unlocked T-Mobile AT&T - Good,$284.95,2025-09-26,https://www.ebay.com/itm/187352719112,https://i.ebayimg.com/images/g/wEsAAOSwMQJnfppp/s-l500.webp,128 GB,Good,False,Pixel 8,True
2,Google Pixel 8 | 8a | 8 Pro - 128GB | 256GB  - Unlocked Verizon AT&T T-Mobile,$309.95,2025-09-18,https://www.ebay.com/itm/276806870263,https://i.ebayimg.com/images/g/f~sAAOSwurFnfBH6/s-l500.webp,128 GB,Unknown,False,Pixel 8,True
2,Google Pixel 8 - 128GB - Rose (Unlocked) - Very Good Condition,$296.81,2025-08-25,https://www.ebay.com/itm/306449669509,https://i.ebayimg.com/images/g/Gc8AAeSwihJoa9xY/s-l500.webp,128 GB,Very Good,False,Pixel 8,True
2,Google Pixel 8 128GB Black Obsidian - Factory Unlocked + MORE - Very Good,$284.99,2025-08-15,https://www.ebay.com/itm/197613929871,https://i.ebayimg.com/images/g/SlAAAOSwIi1nf-NK/s-l500.webp,128 GB,Very Good,False,Pixel 8,True
2,Google Pixel 8 - Unlocked -  All Colors/Memory - Good Condition,$299.99,2025-08-24,https://www.ebay.com/itm/127057456318,https://i.ebayimg.com/images/g/ZycAAOSwUaVnyiai/s-l500.webp,Unknown,Good,False,Pixel 8,True
2,Google Pixel 8 128GB Black Obsidian - Factory Unlocked + MORE -  Good,$269.99,2025-08-14,https://www.ebay.com/itm/205671752752,https://i.ebayimg.com/images/g/zwYAAeSwlPhongHQ/s-l500.webp,128 GB,Good,False,Pixel 8,True
2,Google Pixel 8 128GB Black Obsidian - Factory Unlocked + MORE - Very Good,$294.99,2025-08-08,https://www.ebay.com/itm/205660489210,https://i.ebayimg.com/images/g/SlAAAOSwIi1nf-NK/s-l500.webp,128 GB,Very Good,False,Pixel 8,True
2,Google Pixel 8 - Unlocked -  All Colors/Memory - Excellent Condition,$319.99,2025-07-28,https://www.ebay.com/itm/126991664607,https://i.ebayimg.com/images/g/ZycAAOSwUaVnyiai/s-l500.webp,Unknown,Excellent,False,Pixel 8,True
2,Google Pixel 8 - 128GB - Rose (Unlocked) - Very Good Condition,$301.18,2025-07-26,https://www.ebay.com/itm/306398728808,https://i.ebayimg.com/images/g/Gc8AAeSwihJoa9xY/s-l500.webp,128 GB,Very Good,False,Pixel 8,True
